School Name,Latitude,Longitude,LGA
Bundalaguah Primary School,-38.0235,147.0121,Wellington (S)
Bundarra Primary School,-38.36224,141.59245,Glenelg (S)
Bundoora Primary School,-37.70734,145.06299,Banyule (C)
Bungaree Primary School,-37.55759,144.0071,Moorabool (S)
Buninyong Primary School,-37.65423,143.88625,Ballarat (C)
Bunyip Primary School,-38.09884,145.71251,Cardinia (S)
Burnside Primary School,-37.74566,144.75289,Melton (C)
Burwood East Primary School,-37.85973,145.15181,Whitehorse (C)
Burwood Heights Primary School,-37.84675,145.16328,Whitehorse (C)
Buxton Primary School,-37.4214,145.70905,Murrindindi (S)
Cairnlea Park Primary School,-37.75885,144.788,Brimbank (C)
Caledonian Primary School,-37.55542,143.89424,Ballarat (C)
California Gully Primary School,-36.73321,144.24986,Greater Bendigo (C)
Camberwell Primary School,-37.83268,145.05805,Boroondara (C)
Camberwell South Primary School,-37.8479,145.06261,Boroondara (C)
Cambridge Primary School,-37.86739,144.67569,Wyndham (C)
Camelot Rise Primary School,-37.86528,145.18777,Monash (C)
Camp Hill Primary School,-36.75571,144.27804,Greater Bendigo (C)
Campbellfield Heights Primary School,-37.67433,144.96587,Hume (C)
Campbells Creek Primary School,-37.09293,144.20466,Mount Alexander (S)
Cana Catholic Primary School,-37.68792,144.74715,Melton (C)
Canadian Lead Primary School,-37.57297,143.87591,Ballarat (C)
Canterbury Primary School,-37.83096,145.08314,Boroondara (C)
Cape Clear Primary School,-37.79196,143.60821,Golden Plains (S)
Cardinia Primary School,-38.1458,145.42377,Cardinia (S)
Cardross Primary School,-34.28801,142.14504,Mildura (RC)
Carisbrook Primary School,-37.05206,143.81266,Central Goldfields (S)
Carlisle River Primary School,-38.56393,143.39503,Colac-Otway (S)
Carlton Gardens Primary School,-37.80205,144.96951,Melbourne (C)
Carlton North Primary School,-37.79106,144.97303,Yarra (C)
Carlton Primary School,-37.7956,144.97045,Melbourne (C)
Carnegie Primary School,-37.89074,145.0545,Glen Eira (C)
Carraragarmungee Primary School,-36.3289,146.46086,Wangaratta (RC)
Carrington Primary School,-37.89148,145.24649,Knox (C)
